Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,PlayerId,Team
Tyler Glasnow ,141.7,180,11,0,3.50,1.12,55,115,44,18,25,25,6,0,4587 d,LAD 
Joe Musgrove ,161.7,158,11,0,3.64,1.16,65,147,41,20,28,27,8,0,5883 d,SD 
Joe Ryan ,167.4,185,11,0,3.99,1.14,74,148,44,26,30,29,9,0,43688 ,MIN 
Blake Snell ,166.7,211,12,0,3.61,1.27,67,131,81,19,30,30,8,0,5835 d,SP) FA 
Jesus Luzardo ,168.4,193,10,0,3.82,1.22,71,149,57,22,30,29,9,0,6889 d,MIA 
Sonny Gray ,166.3,156,11,0,3.67,1.23,68,151,54,17,29,29,8,0,4755 d,STL 
Grayson Rodriguez ,161.9,174,10,0,3.77,1.21,68,142,54,19,30,30,8,0,7924 d,BAL 
Justin Steele ,172.2,165,11,0,3.69,1.25,71,163,52,18,30,30,8,0,8158 d,CHC 
Shane Bieber ,171.5,163,10,0,3.80,1.21,72,163,45,21,28,28,9,1,7178 d,CLE 
Chris Bassitt ,187.2,167,12,0,4.05,1.24,84,176,55,26,31,31,10,1,5554 d,TOR 
Bobby Miller ,148.7,146,11,0,3.86,1.19,64,134,43,18,27,27,7,0,43804 ,LAD 
Chris Sale ,132.4,158,10,0,3.81,1.17,56,116,39,18,25,25,6,0,3207 d,ATL 
Jordan Montgomery ,178.5,164,11,0,3.90,1.25,77,173,50,22,31,30,9,0,7062 d,SP) FA 
Carlos Rodon ,145.7,167,10,0,3.99,1.19,65,124,49,21,27,27,8,1,5674 d,NYY 
Tanner Bibee ,162.8,160,10,0,3.93,1.23,71,149,50,22,29,28,9,0,45056 ,CLE 
Michael King ,143.1,161,9,0,3.73,1.23,59,125,51,18,33,24,7,0,8489 d,SD 
Edwin Diaz ,61.3,94,3,33,2.84,1.03,19,42,21,6,61,0,2,0,5996 d,NYM 
Jose Berrios ,176.0,165,11,0,4.14,1.24,81,170,49,25,31,30,10,0,5722 d,TOR 
Justin Verlander ,153.8,139,11,0,4.01,1.21,69,143,44,22,26,26,8,0,3623 d,HOU 
Yu Darvish ,157.2,156,10,0,4.13,1.20,72,144,44,23,27,26,9,0,3965 d,SD 
Bailey Ober ,151.4,148,9,0,4.08,1.18,69,143,35,24,28,28,8,0,44064 ,MIN 
Merrill Kelly ,179.5,168,11,0,4.05,1.28,81,169,61,23,31,30,10,0,8374 d,ARI 
Eury Perez ,137.3,156,8,0,3.90,1.19,60,117,46,20,27,27,8,0,44610 ,MIA 
Dylan Cease ,173.1,201,10,0,4.03,1.31,78,151,75,22,31,31,10,0,6848 d,CWS 
Jhoan Duran ,64.8,86,4,30,2.84,1.12,20,49,23,5,64,0,3,0,8034 d,MIN 
Hunter Brown ,152.6,163,11,0,3.95,1.28,67,139,57,18,31,27,8,0,44176 ,HOU 
Eduardo Rodriguez ,165.3,158,11,0,3.93,1.29,72,159,54,19,29,29,9,0,3963 d,ARI 
Devin Williams ,62.4,89,5,31,2.99,1.16,21,43,29,6,63,0,3,0,27766 ,MIL 
Emmanuel Clase ,66.9,67,4,34,3.02,1.11,22,58,16,5,67,0,3,0,27356 ,CLE 
Shota Imanaga ,143.3,143,9,0,3.94,1.22,63,135,40,21,26,26,7,2,6979 d,CHC 
Kodai Senga ,134.1,156,9,0,3.74,1.27,56,111,59,16,22,23,7,1,6917 d,NYM 
Cole Ragans ,161.2,170,10,0,3.94,1.30,71,143,67,18,28,28,9,0,6834 d,KC 
Hunter Greene ,150.3,189,9,0,4.26,1.24,71,129,58,25,28,28,9,0,6871 d,CIN 
Mitch Keller ,183.1,177,11,0,4.18,1.31,85,178,62,21,31,31,10,0,6477 d,PIT 
Josh Hader ,60.0,87,3,33,3.14,1.13,21,42,26,7,62,0,2,0,5047 d,HOU 
Nestor Cortes Jr. ,133.3,134,9,0,4.05,1.20,60,120,39,21,28,24,6,0,7375 d,NYY 
Braxton Garrett ,153.0,145,9,0,3.98,1.26,68,152,41,19,29,29,9,0,6815 d,MIA 
Pete Fairbanks ,56.7,79,4,29,2.99,1.11,19,41,22,5,59,0,2,0,19909 ,TB 
Triston McKenzie ,144.2,144,8,0,4.10,1.21,66,128,47,22,25,25,9,0,39295 ,CLE 
Andres Munoz ,59.6,82,4,26,3.00,1.12,20,44,23,5,60,0,3,0,24281 ,SEA 
Cristian Javier ,158.9,168,10,0,4.34,1.25,77,137,63,26,29,29,8,0,10002 ,HOU 
Nathan Eovaldi ,156.0,143,10,0,4.12,1.26,71,151,45,22,27,27,8,2,4423 d,TEX 
Raisel Iglesias ,63.0,75,4,31,3.37,1.12,24,54,16,8,62,0,3,0,5589 d,ATL 
Bryan Woo ,131.5,137,8,0,4.04,1.21,59,117,43,18,32,24,8,0,47011 ,SEA 
Bryce Miller ,144.3,131,9,0,4.18,1.21,67,138,37,21,27,27,8,0,45184 ,SEA 
Walker Buehler ,126.7,118,9,0,3.98,1.21,56,119,35,17,22,22,6,1,7002 d,LAD 
Camilo Doval ,65.5,80,4,34,3.36,1.23,24,53,28,5,66,0,3,0,43997 ,SF 
Aaron Civale ,139.6,130,8,0,4.08,1.21,63,132,38,19,26,26,8,0,21649 ,TB 
Charlie Morton ,157.1,171,11,0,4.16,1.33,73,143,67,20,28,28,8,0,3181 d,ATL 
Tanner Scott ,67.5,89,4,26,3.23,1.21,24,53,29,5,69,0,3,0,7328 d,MIA 
Ryan Helsley ,61.3,80,4,27,3.22,1.16,22,45,26,7,61,0,3,0,7481 d,STL 
Nick Pivetta ,158.8,177,10,0,4.38,1.28,77,143,60,25,31,27,10,0,6590 d,BOS 
Evan Phillips ,63.8,72,4,29,3.43,1.14,24,53,20,8,62,0,3,0,7989 d,LAD 
